idx,lon,lat,day,night
116.24_39.57,116.24,39.57,0.0,57.0
116.28_39.98,116.28,39.98,406.0,41.0
116.28_39.99,116.28,39.99,3368.0,3576.0
116.28_39.91,116.28,39.91,15732.0,10695.0
116.28_39.92,116.28,39.92,15559.0,19761.0
116.28_39.93,116.28,39.93,11402.0,16782.0
116.28_39.94,116.28,39.94,11597.0,10138.0
116.28_39.95,116.28,39.95,12447.0,16621.0
116.28_39.96,116.28,39.96,42985.0,16196.0
116.28_39.97,116.28,39.97,3262.0,5387.0
116.22_40.05,116.22,40.05,624.0,1306.0
116.22_40.04,116.22,40.04,459.0,1399.0
116.22_40.07,116.22,40.07,2872.0,4676.0
116.22_40.06,116.22,40.06,445.0,113.0
116.22_40.03,116.22,40.03,2325.0,7381.0
116.22_40.02,116.22,40.02,243.0,1473.0
116.22_40.09,116.22,40.09,191.0,970.0
116.22_40.08,116.22,40.08,2817.0,8787.0
115.96_40.03,115.96,40.03,2.0,2.0
115.77_39.9,115.77,39.9,401.0,458.0
117.06_40.21,117.06,40.21,0.0,6.0
117.06_40.26,117.06,40.26,2.0,41.0
117.06_40.27,117.06,40.27,15.0,8.0
117.06_40.28,117.06,40.28,690.0,133.0
116.87_40.59,116.87,40.59,0.0,23.0
117.19_40.68,117.19,40.68,6.0,6.0
117.19_40.67,117.19,40.67,3.0,4.0
117.19_40.64,117.19,40.64,0.0,15.0
116.76_39.69,116.76,39.69,5.0,31.0
116.03_40.06,116.03,40.06,33.0,39.0
116.03_40.07,116.03,40.07,57.0,1.0
116.03_40.04,116.03,40.04,0.0,2.0
116.03_40.01,116.03,40.01,4.0,12.0
117.08_40.32,117.08,40.32,5.0,143.0
117.08_40.31,117.08,40.31,0.0,3.0
117.08_40.37,117.08,40.37,1.0,43.0
117.08_40.36,117.08,40.36,0.0,4.0
116.51_40.42,116.51,40.42,4.0,221.0
116.51_40.41,116.51,40.41,199.0,357.0
117.08_40.38,117.08,40.38,1.0,5.0
116.51_40.47,116.51,40.47,32.0,1.0
116.51_40.46,116.51,40.46,9.0,1.0
116.57_39.74,116.57,39.74,972.0,72.0
116.57_39.75,116.57,39.75,103.0,6.0
116.57_39.76,116.57,39.76,2148.0,462.0
116.57_39.77,116.57,39.77,2612.0,4040.0
116.57_39.71,116.57,39.71,74.0,29.0
116.57_39.72,116.57,39.72,255.0,438.0
116.57_39.73,116.57,39.73,5793.0,4209.0
116.57_39.78,116.57,39.78,1819.0,4.0
116.57_39.79,116.57,39.79,1122.0,1134.0
116.99_40.4,116.99,40.4,0.0,201.0
116.99_40.2,116.99,40.2,7.0,2.0
115.82_40.01,115.82,40.01,11.0,58.0
116.74_39.68,116.74,39.68,54.0,11.0
117.19_40.36,117.19,40.36,2.0,55.0
116.22_39.63,116.22,39.63,4.0,48.0
117.0_40.19,117.0,40.19,377.0,790.0
115.88_40.16,115.88,40.16,10.0,1.0
115.88_40.15,115.88,40.15,9.0,14.0
115.88_40.14,115.88,40.14,1.0,0.0
115.56_39.9,115.56,39.9,0.0,10.0
116.71_40.01,116.71,40.01,8.0,12.0
115.77_40.0,115.77,40.0,49.0,66.0
116.71_40.03,116.71,40.03,30.0,241.0
116.71_40.02,116.71,40.02,3.0,15.0
116.71_40.05,116.71,40.05,147.0,1066.0
116.71_40.04,116.71,40.04,584.0,1081.0
116.71_40.07,116.71,40.07,66.0,372.0
116.71_40.06,116.71,40.06,62.0,89.0
116.71_40.09,116.71,40.09,685.0,1387.0
116.71_40.08,116.71,40.08,350.0,1779.0
116.96_40.33,116.96,40.33,3.0,25.0
116.96_40.32,116.96,40.32,8.0,390.0
116.96_40.34,116.96,40.34,0.0,14.0
116.96_40.37,116.96,40.37,47.0,497.0
116.96_40.36,116.96,40.36,3.0,5.0
116.22_39.69,116.22,39.69,5.0,22.0
116.22_39.68,116.22,39.68,1.0,2.0
116.48_39.78,116.48,39.78,2281.0,3626.0
116.48_39.79,116.48,39.79,1981.0,7333.0
116.48_39.74,116.48,39.74,177.0,21.0
116.48_39.75,116.48,39.75,2027.0,63.0
116.48_39.76,116.48,39.76,1734.0,16794.0
116.48_39.77,116.48,39.77,99.0,35.0
116.48_39.71,116.48,39.71,621.0,353.0
116.48_39.72,116.48,39.72,871.0,1136.0
116.48_39.73,116.48,39.73,247.0,88.0
116.19_40.58,116.19,40.58,5.0,6.0
116.19_40.55,116.19,40.55,2.0,15.0
116.19_40.56,116.19,40.56,0.0,7.0
116.19_40.51,116.19,40.51,1.0,56.0
116.19_40.53,116.19,40.53,0.0,1.0
116.47_39.9,116.47,39.9,30747.0,9564.0
116.47_39.8,116.47,39.8,4281.0,8234.0
116.77_39.96,116.77,39.96,30.0,28.0
116.63_40.63,116.63,40.63,1.0,2.0
116.23_40.58,116.23,40.58,0.0,40.0
116.47_39.7,116.47,39.7,911.0,1609.0
116.47_39.6,116.47,39.6,20.0,114.0
115.68_39.61,115.68,39.61,2.0,21.0
116.1_40.18,116.1,40.18,227.0,64.0
116.1_40.19,116.1,40.19,47.0,20.0
116.16_40.46,116.16,40.46,0.0,12.0
116.16_40.47,116.16,40.47,1.0,47.0
115.89_40.18,115.89,40.18,2.0,0.0
116.1_40.11,116.1,40.11,121.0,28.0
116.1_40.12,116.1,40.12,27.0,10.0
116.16_40.48,116.16,40.48,5.0,61.0
116.1_40.16,116.1,40.16,137.0,237.0
116.1_40.17,116.1,40.17,221.0,48.0
116.49_39.97,116.49,39.97,25150.0,6802.0
116.49_39.96,116.49,39.96,10286.0,21571.0
116.49_39.95,116.49,39.95,4404.0,10105.0
116.49_39.94,116.49,39.94,4888.0,9556.0
116.49_39.93,116.49,39.93,18902.0,16424.0
116.49_39.92,116.49,39.92,11124.0,21400.0
116.49_39.91,116.49,39.91,46589.0,10542.0
115.74_39.53,115.74,39.53,15.0,10.0
115.74_39.56,115.74,39.56,85.0,541.0
115.74_39.57,115.74,39.57,6.0,229.0
116.49_39.99,116.49,39.99,12106.0,1073.0
116.49_39.98,116.49,39.98,41139.0,535.0
116.63_41.0,116.63,41.0,1.0,2.0
